Titre,Localisation,Surface_m2,Prix_FCFA,Image
Appartement f5 de 278 m2 à vendre à la cité africa,"Ouakam, Dakar",278.0,265000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/126ec6f0a5e7009fd5cee64b70c1a7eb/-/horizon-files-prod/ed/picture/q785km2n/d491e2969da645499e5091c6ca8d1a2e3896a49f.png
"Appartement à vendre mermoz dakar, f4 sur 251 m2","Mermoz, Dakar",251.0,274000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a7e6525ac7c3387ab31a9637b8c7835a/-/horizon-files-prod/ed/picture/q78wjeed/cb48a24996424a7c596366ec3c004804a0b938d6.jpg
Appartement f5 penthouse,"Almadies, Dakar",325.0,265000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19bfccf20c37ec8b8acf64a5227b081e/-/horizon-files-prod/ed/picture/qwerpq54/7a477538565c16b37bab116d8fe0025d0c7f9493.jpg
Au coeur des almadies à vendre des f2 f4 et f5,"Almadies, Dakar",92.0,128800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f3ea1becbe20f2a3df3be11aaefd971/-/horizon-files-prod/ed/picture/qpdg02rq/281b22c48dda318446068abb5d838a0981692056.jpg
Investissement idéal à mermoz des f4 moderne à vendre,"Mermoz, Dakar",176.0,185000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/11566a72c5405b2a04a687643a766c23/-/horizon-files-prod/ed/picture/qpdg02qq/51540781ee99835cfc1384bd52663012c57c5ed2.jpg
Appartements à vendre à mermoz,"Mermoz, Dakar",,140000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c068e4712dd79bd8d66efd89bb50be8/-/horizon-files-prod/ed/picture/q0gkndn6/fd450af993cc97263f131eaf1b89b9a1c1d9b88d.jpg
Appartement à vendre cite mixta,"Cite Mixta, Dakar",100.0,40000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/373b6fc0789f766d63457e8b589c9ab0/-/horizon-files-prod/ed/picture/q0g7m49e/fa5a503c33d499209a1cc8a6e22b265fd816ae53.jpg
Appartement f4 à vendre cite keur gorgui,"Cité Keur Gorgui, Dakar",157.0,180000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c5eb5a54419629fd3ed693aa6bb631d/-/horizon-files-prod/ed/picture/qenr9x6x/bf33f14c72dc47965a44efcee2c33297ca58b3d6.jpg
Appartement f2 à vendre à mermoz,"Mermoz, Dakar",,80000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f75a3c18d487ae43aeb83c676e64db0c/-/horizon-files-prod/ed/picture/qrzrnjej/28a705010e419eaa0351d877451fcc19ab4cb6e0.jpg
Appartement à vendre cite keur gorgui,"Cité Keur Gorgui, Dakar",250.0,150000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a4c5ebb67c9dd3c78ab44ca512b537bb/-/horizon-files-prod/ed/picture/qwergkv6/3686986d47c5c8fcce66167a8d0d7f20edaee92e.jpg
Appartements f4 à vendre à mermoz,"Mermoz, Dakar",,140000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/07d1ef85ac4c13302f153ed1b819660c/-/horizon-files-prod/ed/picture/qrzrnjwj/a62753397895b05a1210eeb036693ea2f73083bb.jpg
Appartement f3 à vendre,"Ouakam, Dakar",100.0,95000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a09da695bb2b8ac36655fe74fe5ba739/-/horizon-files-prod/ed/picture/q8vmvxg9/bc57fb7bd68c8bfcc2004c98f3d65e083c684062.png
Appartements à vendre à sacré-cœur 3,"Sacré-Cœur, Dakar",,90144340,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ba119eb53099d111e23a80b0b76aeebb/-/horizon-files-prod/ed/picture/qzvpn5qd/b58d7d492494cef424228d14d780a970411f8552.png
Appartement f2 à vendre à amitié 2,"Amitié, Dakar",59.0,75000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a31bb4ed0258127389ac17cb00571f4a/-/horizon-files-prod/ed/picture/qj46qdzv/1c329b8dc0393940290f0dc489ff739e626e30e8.png
Appartement f3 à vendre à liberté 6,"Liberte 6 Extension, Dakar",150.0,110000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d17192e2141a0a10b2f30103aabe00d8/-/horizon-files-prod/ed/picture/qq4zzr4v/b2c4d8adddc6e2f991933c23df38362c1f311568.png
Appartements à vendre à ngor virage,"Virage, Dakar",,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/443b4a0dea9d897514321525a7279e91/-/horizon-files-prod/ed/picture/qzv8zpkg/69ffd0eab2d56cc39b9e4e0f0a653e6f27a8005d.png
Appartement f4+ de 285 m2 à vendre aux almadies,"Almadies, Dakar",285.0,200000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/53452e6ae994881f25888ccec558b992/-/horizon-files-prod/ed/picture/qj4qkkm6/3b9e5583f6e901b81d18f7c6f099851104bf7375.jpg
