Titre,Localisation,Surface_m2,Prix_FCFA,Image
3 chambres a louer a ngor-almadies,"Almadies, Dakar",150.0,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2c566d5a7b58343ea8c074383c98de0/-/horizon-files-prod/ed/picture/qxj28qmw/1f73a357a452e57ecdd1beb77dd08c66ac9364ff.jpg
Appartements à louer aux almadies rte du king fad,"Almadies, Dakar",200.0,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/33c072e2d3a584ee4aa84d81f9068ae8/-/horizon-files-prod/ed/picture/qwerg06m/d3b5e2fbb88fe7ef7e4e058f5cc1f128e1c799a1.jpg
Magnifique appartement à louer a fann résidence avec vue mer,"Fann, Dakar",,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aebbf508af94a95da83377eb12717bbe/-/horizon-files-prod/ed/picture/qm5g22x6/0503701a88ee8998e34708c7b161fcbfda1b63e3.jpg
Appartement standing a louer mamelles,"Mamelles, Dakar",100.0,425000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e601a5fe937d44441f9bde1cb87be5fd/-/horizon-files-prod/ed/picture/qrzr60vx/1d103fbebafea92abd59e9ef1f40248a02f4cd59.jpg
Appartement meublé à ouakam corniche,"Ouakam, Dakar",,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a4be5dbade1533e13773d9faffd8628/-/horizon-files-prod/ed/picture/q0g7eg8e/b8c35646244f55cbb5802d104e349ef6ae3072bb.jpg
Un appartement f3 de bon standing à louer à ouakam asecna,"Ouakam, Dakar",,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ca0d48c2ddf848502ced41c6379344f2/-/horizon-files-prod/ed/picture/qng90zxz/51d76deef9f7da6169fca49b71005d93db483194.jpg
Bel appartement à louer route du king fahd palace,"Almadies, Dakar",,1650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82264944643202d74e9720a4c447aba6/-/horizon-files-prod/ed/picture/q6xqdmzp/3b44eda274f79572a5be682cecaf44e724d008b4.jpg
Bel appartement à fann mermoz,"Fann, Dakar",,1250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aef342f12c8817b76a9248cac19a2ad1/-/horizon-files-prod/ed/picture/q0gk7v46/c3e2ce6439610fcc0bf2d315ba6473add7e106d8.jpg
Almadies appartement à louer,"Almadies, Dakar",,1250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/31712989113e73202ea2419a502692a9/-/horizon-files-prod/ed/picture/qenr92n5/7ce95094b2bf075b157f230b95a7a1a0d4868c72.jpg
Appartements à louer à kounoune,"Kounoune, Dakar",,190000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/97abdd613c28f0a00d005205ec60fcba/-/horizon-files-prod/ed/picture/qv4dekvx/d27b08427a459a2fd094f91016d7f4ff7533a3df.jpg
Studio à louer à la cité lss,"Parcelles Assainies, Dakar",55.0,185000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38ba8edf22a9df961772246d13f879a3/-/horizon-files-prod/ed/picture/q6xd05k6/14d4a80fb308fcdda8b38aa08303cc353e6ad166.jpg
Appartement f4 à louer – mermoz,"Mermoz, Dakar",,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64d57bb519378ea9c2bfad4453969891/-/horizon-files-prod/ed/picture/qm500jgm/bba27f47f7db13555f37fc3889ff323f2c9d4116.jpg
Appartement f4 à louer – situé sur la vdn,"Vdn, Dakar",,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1d77c125fa002be05072856cc1312839/-/horizon-files-prod/ed/picture/qv4dd542/be2f1da1cf198547a4e0a7400c5efc7760b3e066.jpg
Appartement f4 à louer – aux mamelles,"Mamelles, Dakar",,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d57297a0a9f386cd13ba90d4e5862832/-/horizon-files-prod/ed/picture/q2jkkn9v/8dc9cca81e54e1f77e36019328c5132de15df458.jpg
Appartement f4 avec vue/ mer sur la corniche des mamelles,"Mamelles, Dakar",180.0,1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe979aebb8f266808f0778acd3848240/-/horizon-files-prod/ed/picture/qv4d4dvv/89c884ae07bf131d04e305535f67a1e6ad19d6e0.jpg
Appartement f4 a louer fann residence,"Fann, Dakar",,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f9f6df363c0f92038d849cc21e51cce/-/horizon-files-prod/ed/picture/q2jk7v5q/eaacc8bafd96c55578c62f366b072a1e91731551.jpg
F3 a louer,"Zac Mbao, Dakar",100.0,180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19af8e23902dfb4c9107c408280bc4ef/-/horizon-files-prod/ed/picture/qng9pgnm/e025056c5c090f61c1e88e6ab000f5d430f0a8a9.jpg
Sacré cœur 3 appartements à louer derrière pape diob,"Sacré-Cœur, Dakar",200.0,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c595db3074fc2197e98ca77ae136618b/-/horizon-files-prod/ed/picture/qwerpr54/38b9c1183a96cfba9c62d95da685fcfcb0457c9b.jpg
Appartement f4 avec dépendance à ngor-almadies,"Almadies, Dakar",150.0,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1af66e252a09523cc7f7cba43f1f52b6/-/horizon-files-prod/ed/picture/q78j7zed/75283e5c88df98f136a41f1f8a4b5fa6cc57a5e1.jpg
F4 moderne à louer à mermoz,"Mermoz, Dakar",150.0,850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c02a261efc021957db66f52398eb48a8/-/horizon-files-prod/ed/picture/qj4652r6/e2a5d24ada449ee77b66b028451ae823c01e8992.jpg
Ravissant f2 proche lycée mermoz et corniche,"Ouakam, Dakar",60.0,990000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f18e825818d21a2ff96ddb56b0491ef7/-/horizon-files-prod/ed/picture/q56d55w5/9006402a9353635893569ebe88f3000791d96bad.jpg
Almadies king fahd ravissant 2 chambres salon,"Almadies, Dakar",125.0,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56d26c935abae2d5a7073e5d864e6607/-/horizon-files-prod/ed/picture/q56x2ep5/a09c4362c35b5aaa9f840b93a253faa9301ad7a0.jpg
